IndiceBase;Angel Base;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1;Miguel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael
4;Gabriel;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel
7;Chamuel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael
3;Rafael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel
6;Sadchiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel
2;Anael;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel
5;Cassiel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel;Miguel;Anael;Rafael;Gabriel;Cassiel;Sadchiel;Samuel
