ID;Día;Mentor;Angel Guia;Angel Día;Color;Significado;imagen;Aroma;Codigo Sagrado;Atributo;Planeta;Gracia;Gemas;Se canaliza para;Don
1;domingo;Miguel;Miguel;Miguel;Azul;protección y fortaleza;;Ruda;613;Quien como Dios;Sol;Voluntad, valor, fe, fuerza,poder, protección y liberación;Turmalina negra, cuarzo azul y lapislazuli;Protección, exorcizar tentaciones;Control sobre las criaturas de la tierra
2;lunes;Gabriel;Jofiel;Gabriel;;Sabiduría y paz;;Sándalo;881,581;La Fuerza de Dios;Luna;Orientación, renovación y guia espiritual;Cuiarzo Blanco y piedra Luna;Cultivar la inspiración, la creatividad, la comiunicación;Control sobre las criaturas de la tierra
3;martes;Chamuel;Chamuel;Chamuel;Rosado;Amor divino y gratitud;;Rosa y Miel;725,125;El que va con Dios;Venus;Amor y Comapsiom universal;Cuarto rosa y rodocrosita;Cultivar el amor propio, protección contra todo mal;Control sobre las criaturas de la tierra
4;miércoles;Rafael;Gabriel;Rafael;Blanco;Pureza, ascensión y alegría;;Jazmin;29,2129,1577;El que Dios Sana;Mercurio;Sanación, curación, don de sanación,consuelo u olvido de penas;Cuarzo verde, aventurina, malaquita y jade;Sanación en todos los niveles;Control sobre las criaturas de la tierra
5;jueves;Zadquiel;Rafael;Sadchiel;Verde;Curación, concentración y verdad;;Lavanda;389;Justicia de Dios;Jupiter;Transmutacion, perdon y don de la intuicion;Amatista, kunsita y sugilita;Liberación espiritual, capacidad de perdonar;Control sobre las criaturas de la tierra
6;viernes;Anael;Uriel;Anael;Oro;Suministro de dinero y gracia divina;;Azahar;991;Gloria o Gracia de Dios;Venus;Cultiva el amor propio;Esmeralda;Paz, serenidad, armonía;Voluntad Divina
7;sábado;Cassiel;Zadquiel;Cassiel;Violeta;Invocación, transmutar y liberar;;Mejorana;781;Cubierta de Dios;Saturno;Temperanza;Onix negro;Claridad mental, transmutar;Voluntad Divina
